index,target_mode,method,labels,budget_unit,budget_value,budget,eligible_body_tokens,precision,recall,f1,exact_match,complete_support,true_positive,predicted,gold,spent_tokens,unused_tokens,selected_sentences,gold_tokens,token_recall,fact_recall_ceiling
0,full,DT_target,official_restored,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,DT_target,review_corrected,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,DT_target,official_restored,body_tokens,0.1,266,2659,0.18181818181818182,1.0,0.3076923076923077,0.0,1.0,2,11,2,266,0,11,66,1.0,1.0
0,full,DT_target,review_corrected,body_tokens,0.1,266,2659,0.18181818181818182,1.0,0.3076923076923077,0.0,1.0,2,11,2,266,0,11,66,1.0,1.0
0,full,DT_target,official_restored,body_tokens,0.2,532,2659,0.10526315789473684,1.0,0.1904761904761905,0.0,1.0,2,19,2,531,1,19,66,1.0,1.0
0,full,DT_target,review_corrected,body_tokens,0.2,532,2659,0.10526315789473684,1.0,0.1904761904761905,0.0,1.0,2,19,2,531,1,19,66,1.0,1.0
0,full,DT_target,official_restored,sentences,2,2,2659,0.5,0.5,0.5,0.0,0.0,1,2,2,74,0,2,66,0.7575757575757576,1.0
0,full,DT_target,review_corrected,sentences,2,2,2659,0.5,0.5,0.5,0.0,0.0,1,2,2,74,0,2,66,0.7575757575757576,1.0
0,full,DT_target,official_restored,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
0,full,DT_target,review_corrected,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
0,full,DT_target,official_restored,sentences,8,8,2659,0.25,1.0,0.4,0.0,1.0,2,8,2,209,0,8,66,1.0,1.0
0,full,DT_target,review_corrected,sentences,8,8,2659,0.25,1.0,0.4,0.0,1.0,2,8,2,209,0,8,66,1.0,1.0
0,full,FT_K1,official_restored,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,FT_K1,review_corrected,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,FT_K1,official_restored,body_tokens,0.1,266,2659,0.18181818181818182,1.0,0.3076923076923077,0.0,1.0,2,11,2,266,0,11,66,1.0,1.0
0,full,FT_K1,review_corrected,body_tokens,0.1,266,2659,0.18181818181818182,1.0,0.3076923076923077,0.0,1.0,2,11,2,266,0,11,66,1.0,1.0
0,full,FT_K1,official_restored,body_tokens,0.2,532,2659,0.11764705882352941,1.0,0.21052631578947367,0.0,1.0,2,17,2,528,4,17,66,1.0,1.0
0,full,FT_K1,review_corrected,body_tokens,0.2,532,2659,0.11764705882352941,1.0,0.21052631578947367,0.0,1.0,2,17,2,528,4,17,66,1.0,1.0
0,full,FT_K1,official_restored,sentences,2,2,2659,1.0,1.0,1.0,1.0,1.0,2,2,2,66,0,2,66,1.0,1.0
0,full,FT_K1,review_corrected,sentences,2,2,2659,1.0,1.0,1.0,1.0,1.0,2,2,2,66,0,2,66,1.0,1.0
0,full,FT_K1,official_restored,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
0,full,FT_K1,review_corrected,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
0,full,FT_K1,official_restored,sentences,8,8,2659,0.25,1.0,0.4,0.0,1.0,2,8,2,224,0,8,66,1.0,1.0
0,full,FT_K1,review_corrected,sentences,8,8,2659,0.25,1.0,0.4,0.0,1.0,2,8,2,224,0,8,66,1.0,1.0
0,full,FT_K3,official_restored,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,FT_K3,review_corrected,body_tokens,0.05,133,2659,0.4,1.0,0.5714285714285715,0.0,1.0,2,5,2,133,0,5,66,1.0,1.0
0,full,FT_K3,official_restored,body_tokens,0.1,266,2659,0.2,1.0,0.33333333333333337,0.0,1.0,2,10,2,266,0,10,66,1.0,1.0
0,full,FT_K3,review_corrected,body_tokens,0.1,266,2659,0.2,1.0,0.33333333333333337,0.0,1.0,2,10,2,266,0,10,66,1.0,1.0
0,full,FT_K3,official_restored,body_tokens,0.2,532,2659,0.11764705882352941,1.0,0.21052631578947367,0.0,1.0,2,17,2,528,4,17,66,1.0,1.0
0,full,FT_K3,review_corrected,body_tokens,0.2,532,2659,0.11764705882352941,1.0,0.21052631578947367,0.0,1.0,2,17,2,528,4,17,66,1.0,1.0
0,full,FT_K3,official_restored,sentences,2,2,2659,1.0,1.0,1.0,1.0,1.0,2,2,2,66,0,2,66,1.0,1.0
0,full,FT_K3,review_corrected,sentences,2,2,2659,1.0,1.0,1.0,1.0,1.0,2,2,2,66,0,2,66,1.0,1.0
0,full,FT_K3,official_restored,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
0,full,FT_K3,review_corrected,sentences,4,4,2659,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,122,0,4,66,1.0,1.0
