index,target_mode,method,view,fraction,recall,budget
0,full,DT_target,raw_restored,0.05,0.4090909090909091,138
0,full,DT_target,raw_restored,0.1,0.6666666666666666,275
0,full,DT_target,raw_restored,0.2,0.7424242424242424,550
0,full,DT_target,regex_anchor_restored,0.05,1.0,138
0,full,DT_target,regex_anchor_restored,0.1,1.0,275
0,full,DT_target,regex_anchor_restored,0.2,1.0,550
0,full,FT_K1,raw_restored,0.05,0.6818181818181818,138
0,full,FT_K1,raw_restored,0.1,0.8939393939393939,275
0,full,FT_K1,raw_restored,0.2,0.9696969696969697,550
0,full,FT_K1,regex_anchor_restored,0.05,1.0,138
0,full,FT_K1,regex_anchor_restored,0.1,1.0,275
0,full,FT_K1,regex_anchor_restored,0.2,1.0,550
0,full,FT_K3,raw_restored,0.05,0.696969696969697,138
0,full,FT_K3,raw_restored,0.1,0.9090909090909091,275
0,full,FT_K3,raw_restored,0.2,0.9848484848484849,550
0,full,FT_K3,regex_anchor_restored,0.05,1.0,138
0,full,FT_K3,regex_anchor_restored,0.1,1.0,275
0,full,FT_K3,regex_anchor_restored,0.2,1.0,550
1,full,DT_target,raw_restored,0.05,0.3333333333333333,59
1,full,DT_target,raw_restored,0.1,0.5595238095238095,117
1,full,DT_target,raw_restored,0.2,0.6309523809523809,234
1,full,DT_target,regex_anchor_restored,0.05,0.5595238095238095,59
1,full,DT_target,regex_anchor_restored,0.1,0.6785714285714286,117
1,full,DT_target,regex_anchor_restored,0.2,1.0,234
1,full,FT_K1,raw_restored,0.05,0.3333333333333333,59
1,full,FT_K1,raw_restored,0.1,0.47619047619047616,117
1,full,FT_K1,raw_restored,0.2,0.6428571428571429,234
1,full,FT_K1,regex_anchor_restored,0.05,0.5595238095238095,59
1,full,FT_K1,regex_anchor_restored,0.1,1.0,117
1,full,FT_K1,regex_anchor_restored,0.2,1.0,234
1,full,FT_K3,raw_restored,0.05,0.34523809523809523,59
1,full,FT_K3,raw_restored,0.1,0.47619047619047616,117
1,full,FT_K3,raw_restored,0.2,0.6547619047619048,234
1,full,FT_K3,regex_anchor_restored,0.05,0.5595238095238095,59
1,full,FT_K3,regex_anchor_restored,0.1,1.0,117
1,full,FT_K3,regex_anchor_restored,0.2,1.0,234
2,full,DT_target,raw_restored,0.05,0.24545454545454545,59
2,full,DT_target,raw_restored,0.1,0.4,117
2,full,DT_target,raw_restored,0.2,0.6181818181818182,233
2,full,DT_target,regex_anchor_restored,0.05,0.45454545454545453,59
2,full,DT_target,regex_anchor_restored,0.1,0.6454545454545455,117
2,full,DT_target,regex_anchor_restored,0.2,0.6909090909090909,233
2,full,FT_K1,raw_restored,0.05,0.18181818181818182,59
2,full,FT_K1,raw_restored,0.1,0.3181818181818182,117
2,full,FT_K1,raw_restored,0.2,0.45454545454545453,233
2,full,FT_K1,regex_anchor_restored,0.05,0.4090909090909091,59
2,full,FT_K1,regex_anchor_restored,0.1,0.6454545454545455,117
2,full,FT_K1,regex_anchor_restored,0.2,0.6454545454545455,233
2,full,FT_K3,raw_restored,0.05,0.18181818181818182,59
2,full,FT_K3,raw_restored,0.1,0.3090909090909091,117
2,full,FT_K3,raw_restored,0.2,0.45454545454545453,233
2,full,FT_K3,regex_anchor_restored,0.05,0.4090909090909091,59
2,full,FT_K3,regex_anchor_restored,0.1,0.6454545454545455,117
2,full,FT_K3,regex_anchor_restored,0.2,0.6454545454545455,233
3,full,DT_target,raw_restored,0.05,0.2807017543859649,47
3,full,DT_target,raw_restored,0.1,0.3684210526315789,93
3,full,DT_target,raw_restored,0.2,0.45614035087719296,185
3,full,DT_target,regex_anchor_restored,0.05,0.543859649122807,47
3,full,DT_target,regex_anchor_restored,0.1,0.9298245614035088,93
3,full,DT_target,regex_anchor_restored,0.2,0.9298245614035088,185
3,full,FT_K1,raw_restored,0.05,0.3157894736842105,47
3,full,FT_K1,raw_restored,0.1,0.40350877192982454,93
3,full,FT_K1,raw_restored,0.2,0.47368421052631576,185
3,full,FT_K1,regex_anchor_restored,0.05,0.543859649122807,47
3,full,FT_K1,regex_anchor_restored,0.1,0.543859649122807,93
3,full,FT_K1,regex_anchor_restored,0.2,0.543859649122807,185
3,full,FT_K3,raw_restored,0.05,0.3157894736842105,47
3,full,FT_K3,raw_restored,0.1,0.40350877192982454,93
3,full,FT_K3,raw_restored,0.2,0.45614035087719296,185
3,full,FT_K3,regex_anchor_restored,0.05,0.543859649122807,47
3,full,FT_K3,regex_anchor_restored,0.1,0.543859649122807,93
3,full,FT_K3,regex_anchor_restored,0.2,0.543859649122807,185
4,full,DT_target,raw_restored,0.05,0.2777777777777778,62
4,full,DT_target,raw_restored,0.1,0.4222222222222222,123
4,full,DT_target,raw_restored,0.2,0.6,246
4,full,DT_target,regex_anchor_restored,0.05,0.5777777777777777,62
4,full,DT_target,regex_anchor_restored,0.1,0.6666666666666666,123
4,full,DT_target,regex_anchor_restored,0.2,0.8555555555555555,246
4,full,FT_K1,raw_restored,0.05,0.3888888888888889,62
4,full,FT_K1,raw_restored,0.1,0.5,123
4,full,FT_K1,raw_restored,0.2,0.7444444444444445,246
4,full,FT_K1,regex_anchor_restored,0.05,0.5444444444444444,62
4,full,FT_K1,regex_anchor_restored,0.1,1.0,123
4,full,FT_K1,regex_anchor_restored,0.2,1.0,246
4,full,FT_K3,raw_restored,0.05,0.4,62
4,full,FT_K3,raw_restored,0.1,0.5111111111111111,123
4,full,FT_K3,raw_restored,0.2,0.7333333333333333,246
4,full,FT_K3,regex_anchor_restored,0.05,0.5444444444444444,62
4,full,FT_K3,regex_anchor_restored,0.1,1.0,123
4,full,FT_K3,regex_anchor_restored,0.2,1.0,246
5,full,DT_target,raw_restored,0.05,0.13157894736842105,83
5,full,DT_target,raw_restored,0.1,0.24561403508771928,166
5,full,DT_target,raw_restored,0.2,0.3508771929824561,331
5,full,DT_target,regex_anchor_restored,0.05,0.43859649122807015,83
5,full,DT_target,regex_anchor_restored,0.1,0.43859649122807015,166
5,full,DT_target,regex_anchor_restored,0.2,0.43859649122807015,331
5,full,FT_K1,raw_restored,0.05,0.21929824561403508,83
5,full,FT_K1,raw_restored,0.1,0.2894736842105263,166
5,full,FT_K1,raw_restored,0.2,0.45614035087719296,331
5,full,FT_K1,regex_anchor_restored,0.05,0.43859649122807015,83
5,full,FT_K1,regex_anchor_restored,0.1,0.43859649122807015,166
5,full,FT_K1,regex_anchor_restored,0.2,0.43859649122807015,331
5,full,FT_K3,raw_restored,0.05,0.21929824561403508,83
5,full,FT_K3,raw_restored,0.1,0.2719298245614035,166
5,full,FT_K3,raw_restored,0.2,0.45614035087719296,331
5,full,FT_K3,regex_anchor_restored,0.05,0.43859649122807015,83
5,full,FT_K3,regex_anchor_restored,0.1,0.43859649122807015,166
5,full,FT_K3,regex_anchor_restored,0.2,0.43859649122807015,331
6,full,DT_target,raw_restored,0.05,0.08571428571428572,61
6,full,DT_target,raw_restored,0.1,0.11428571428571428,122
6,full,DT_target,raw_restored,0.2,0.17142857142857143,243
6,full,DT_target,regex_anchor_restored,0.05,0.15714285714285714,61
6,full,DT_target,regex_anchor_restored,0.1,0.2857142857142857,122
6,full,DT_target,regex_anchor_restored,0.2,1.0,243
6,full,FT_K1,raw_restored,0.05,0.22857142857142856,61
6,full,FT_K1,raw_restored,0.1,0.3,122
6,full,FT_K1,raw_restored,0.2,0.44285714285714284,243
6,full,FT_K1,regex_anchor_restored,0.05,0.6857142857142857,61
6,full,FT_K1,regex_anchor_restored,0.1,1.0,122
6,full,FT_K1,regex_anchor_restored,0.2,1.0,243
6,full,FT_K3,raw_restored,0.05,0.22857142857142856,61
6,full,FT_K3,raw_restored,0.1,0.3142857142857143,122
6,full,FT_K3,raw_restored,0.2,0.45714285714285713,243
6,full,FT_K3,regex_anchor_restored,0.05,0.6857142857142857,61
6,full,FT_K3,regex_anchor_restored,0.1,1.0,122
